"x"
"1","Baer"
"2","Britz"
"3","Broß"
"4","Bryde"
"5","Di Fabio"
"6","Eichberger"
"7","Gaier"
"8","Gerhardt"
"9","Graßhof"
"10","Grimm"
"11","Haas"
"12","Hassemer"
"13","Hermanns"
"14","Hoffmann-Riem"
"15","Hohmann-Dennhardt"
"16","Hömig"
"17","Huber"
"18","Jaeger"
"19","Jentsch"
"20","Kirchhof"
"21","Kirchhof"
"22","Kruis"
"23","Kühling"
"24","Landau"
"25","Limbach"
"26","Lübbe-Wolff"
"27","Masing"
"28","Mellinghoff"
"29","Osterloh"
"30","Papier"
"31","Paulus"
"32","Schluckebier"
"33","Seibert"
"34","Seidl"
"35","Sommer"
"36","Steiner"
"37","Voßkuhle"
"38","Winter"
